#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
3	ENST00000271620	chr1	+	150980952	151008189	150981108	151006710	8	150980952,150990287,150990942,150997086,150997990,150999708,151001261,151006281,	150981147,150990380,150991145,150997271,150998149,150999803,151001420,151008189,	0	ENSG00000143363	cmpl	cmpl	0,0,0,2,1,1,0,0,
0	ENST00000237247	chr1	+	66999065	67210057	67000041	67208778	27	66999065,66999928,67091529,67098752,67099762,67105459,67108492,67109226,67126195,67133212,67136677,67137626,67138963,67142686,67145360,67147551,67149789,67154830,67155872,67161116,67184976,67194946,67199430,67205017,67206340,67206954,67208755,	66999090,67000051,67091593,67098777,67099846,67105516,67108547,67109402,67126207,67133224,67136702,67137678,67139049,67142779,67145435,67148052,67149870,67154958,67155999,67161176,67185088,67195102,67199563,67205220,67206405,67207119,67210057,	0	ENSG00000118473	cmpl	cmpl	-1,0,1,2,0,0,0,1,0,0,0,1,2,1,1,1,1,1,0,1,1,2,2,0,2,1,1,
0	ENST00000371039	chr1	+	66999274	67210768	67000041	67208778	22	66999274,66999928,67091529,67098752,67105459,67108492,67109226,67136677,67137626,67138963,67142686,67145360,67154830,67155872,67160121,67184976,67194946,67199430,67205017,67206340,67206954,67208755,	66999355,67000051,67091593,67098777,67105516,67108547,67109402,67136702,67137678,67139049,67142779,67145435,67154958,67155999,67160187,67185088,67195102,67199563,67205220,67206405,67207119,67210768,	0	ENSG00000118473	cmpl	cmpl	-1,0,1,2,0,0,1,0,1,2,1,1,1,0,1,1,2,2,0,2,1,1,
0	ENST00000424320	chr1	+	66999297	67145425	67000041	67145425	13	66999297,66999928,67091529,67098752,67101626,67105459,67108492,67109226,67136677,67137626,67138963,67142686,67145360,	66999355,67000051,67091593,67098777,67101698,67105516,67108547,67109402,67136702,67137678,67139049,67142779,67145425,	0	ENSG00000118473	incmpl	incmpl	-1,0,1,2,0,0,0,1,0,1,2,1,1,
0	ENST00000371035	chr1	+	66999822	67208882	67000041	67208778	22	66999822,67091529,67098752,67108492,67109226,67126195,67133212,67136677,67137626,67138963,67142686,67145360,67154830,67155872,67161116,67184976,67194946,67199430,67205017,67206340,67206954,67208755,	67000051,67091593,67098777,67108547,67109402,67126207,67133224,67136702,67137678,67139049,67142779,67145435,67154958,67155999,67161176,67185088,67195102,67199563,67205220,67206405,67207119,67208882,	0	ENSG00000118473	cmpl	cmpl	0,1,2,0,1,0,0,0,1,2,1,1,1,0,1,1,2,2,0,2,1,1,
0	ENST00000468286	chr1	+	66999838	67142779	67142779	67142779	10	66999838,67091529,67098752,67105459,67108492,67109226,67136677,67137626,67138963,67142686,	67000051,67091593,67098777,67105516,67108547,67109402,67136702,67137678,67139049,67142779,	0	ENSG00000118473	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0	ENST00000371036	chr1	+	66999868	67213982	67000044	67208778	21	66999868,67091529,67098752,67105459,67108492,67109226,67136677,67137626,67138963,67142686,67145360,67154830,67155872,67160121,67184976,67194946,67199430,67205017,67206340,67206954,67208755,	67000051,67091593,67098777,67105516,67108547,67109402,67136702,67137678,67139049,67142779,67145435,67154958,67155999,67160187,67185088,67195102,67199563,67205220,67206405,67207119,67213982,	0	ENSG00000118473	cmpl	cmpl	0,1,2,0,0,1,0,1,2,1,1,1,0,1,1,2,2,0,2,1,1,
0	ENST00000371037	chr1	+	66999964	67213982	67000041	67208778	25	66999964,67091529,67098752,67101626,67105459,67108492,67109226,67126195,67133212,67136677,67137626,67138963,67142686,67145360,67147551,67154830,67155872,67161116,67184976,67194946,67199430,67205017,67206340,67206954,67208755,	67000051,67091593,67098777,67101698,67105516,67108547,67109402,67126207,67133224,67136702,67137678,67139049,67142779,67145435,67148052,67154958,67155999,67161176,67185088,67195102,67199563,67205220,67206405,67207119,67213982,	0	ENSG00000118473	cmpl	cmpl	0,1,2,0,0,0,1,0,0,0,1,2,1,1,1,1,0,1,1,2,2,0,2,1,1,
0	ENST00000483060	chr1	+	67091530	67109695	67109695	67109695	6	67091530,67098752,67101626,67105459,67108492,67109226,	67091593,67098777,67101698,67105516,67108547,67109695,	0	ENSG00000118473	none	none	-1,-1,-1,-1,-1,-1,
1	ENST00000337132	chr1	+	16767166	16786573	16767256	16785385	8	16767166,16770126,16774364,16774554,16775587,16778332,16782312,16785336,	16767348,16770227,16774469,16774636,16775696,16778510,16782388,16786573,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,2,0,1,2,
